trade_id,timestamp,symbol,action,side,quantity,price,total_value,strategy,mode,primary_signal,signal_value,threshold,direction,trend,explanation,realized_pnl
BT-20251125215634-0001,2023-01-31T00:00:00-05:00,TSLA,BUY,long,519.5705,173.22,90000.00,momentum_strategy,backtest,momentum,0.6024,0.0200,above,,BUY: 20-day momentum (60.24%) exceeded threshold (2.00%). Price rose from $108.10 to $173.22.,
BT-20251125215634-0002,2023-03-07T00:00:00-05:00,TSLA,SELL,long,519.5705,187.71,97528.58,momentum_strategy,backtest,momentum,-0.0462,-0.0200,below,,SELL: 20-day momentum (-4.62%) fell below threshold (-2.00%). Price dropped from $196.81 to $187.71.,7483.58
BT-20251125215634-0003,2023-03-31T00:00:00-04:00,TSLA,BUY,long,465.2588,207.46,96522.60,momentum_strategy,backtest,momentum,0.0704,0.0200,above,,BUY: 20-day momentum (7.04%) exceeded threshold (2.00%). Price rose from $193.81 to $207.46.,
BT-20251125215634-0004,2023-04-18T00:00:00-04:00,TSLA,SELL,long,465.2588,184.31,85751.86,momentum_strategy,backtest,momentum,-0.0672,-0.0200,below,,SELL: 20-day momentum (-6.72%) fell below threshold (-2.00%). Price dropped from $197.58 to $184.31.,-10819.01
BT-20251125215634-0005,2023-05-17T00:00:00-04:00,TSLA,BUY,long,498.0036,173.86,86582.90,momentum_strategy,backtest,momentum,0.0667,0.0200,above,,BUY: 20-day momentum (6.67%) exceeded threshold (2.00%). Price rose from $162.99 to $173.86.,
BT-20251125215634-0006,2023-07-31T00:00:00-04:00,TSLA,SELL,long,498.0036,267.43,133181.09,momentum_strategy,backtest,momentum,-0.0443,-0.0200,below,,SELL: 20-day momentum (-4.43%) fell below threshold (-2.00%). Price dropped from $279.82 to $267.43.,46554.90
BT-20251125215634-0007,2023-09-05T00:00:00-04:00,TSLA,BUY,long,499.9207,256.49,128224.65,momentum_strategy,backtest,momentum,0.0272,0.0200,above,,BUY: 20-day momentum (2.72%) exceeded threshold (2.00%). Price rose from $249.70 to $256.49.,
BT-20251125215634-0008,2023-09-26T00:00:00-04:00,TSLA,SELL,long,499.9207,244.12,122040.63,momentum_strategy,backtest,momentum,-0.0508,-0.0200,below,,SELL: 20-day momentum (-5.08%) fell below threshold (-2.00%). Price dropped from $257.18 to $244.12.,-6248.13
BT-20251125215634-0009,2023-09-29T00:00:00-04:00,TSLA,BUY,long,488.8547,250.22,122321.23,momentum_strategy,backtest,momentum,0.0213,0.0200,above,,BUY: 20-day momentum (2.13%) exceeded threshold (2.00%). Price rose from $245.01 to $250.22.,
BT-20251125215634-0010,2023-10-03T00:00:00-04:00,TSLA,SELL,long,488.8547,246.53,120517.35,momentum_strategy,backtest,momentum,-0.0214,-0.0200,below,,SELL: 20-day momentum (-2.14%) fell below threshold (-2.00%). Price dropped from $251.92 to $246.53.,-1865.04
BT-20251125215634-0011,2023-10-04T00:00:00-04:00,TSLA,BUY,long,460.9050,261.16,120369.96,momentum_strategy,backtest,momentum,0.0385,0.0200,above,,BUY: 20-day momentum (3.85%) exceeded threshold (2.00%). Price rose from $251.49 to $261.16.,
BT-20251125215634-0012,2023-10-06T00:00:00-04:00,TSLA,SELL,long,460.9050,260.53,120079.59,momentum_strategy,backtest,momentum,-0.0477,-0.0200,below,,SELL: 20-day momentum (-4.77%) fell below threshold (-2.00%). Price dropped from $273.58 to $260.53.,-350.56
BT-20251125215635-0013,2023-11-15T00:00:00-05:00,TSLA,BUY,long,493.2634,242.84,119784.07,momentum_strategy,backtest,momentum,0.1033,0.0200,above,,BUY: 20-day momentum (10.33%) exceeded threshold (2.00%). Price rose from $220.11 to $242.84.,
BT-20251125215635-0014,2024-01-05T00:00:00-05:00,TSLA,SELL,long,493.2634,237.49,117145.12,momentum_strategy,backtest,momentum,-0.0212,-0.0200,below,,SELL: 20-day momentum (-2.12%) fell below threshold (-2.00%). Price dropped from $242.64 to $237.49.,-2698.85
BT-20251125215635-0015,2024-02-22T00:00:00-05:00,TSLA,BUY,long,593.1271,197.41,117089.21,momentum_strategy,backtest,momentum,0.0809,0.0200,above,,BUY: 20-day momentum (8.09%) exceeded threshold (2.00%). Price rose from $182.63 to $197.41.,
BT-20251125215635-0016,2024-03-05T00:00:00-05:00,TSLA,SELL,long,593.1271,180.74,107201.79,momentum_strategy,backtest,momentum,-0.0236,-0.0200,below,,SELL: 20-day momentum (-2.36%) fell below threshold (-2.00%). Price dropped from $185.10 to $180.74.,-9945.97
BT-20251125215635-0017,2024-04-11T00:00:00-04:00,TSLA,BUY,long,617.9140,174.60,107887.79,momentum_strategy,backtest,momentum,0.0745,0.0200,above,,BUY: 20-day momentum (7.45%) exceeded threshold (2.00%). Price rose from $162.50 to $174.60.,
